शब्दः,लिङ्गम्,अर्थः,प्रसिद्धिः,उपाधिभेदः,जातिभेदः १,जातिभेदः २,जातिभेदः ३,जातिभेदः ४,जातिभेदः ५,जातिभेदः ६,समानाः,संबन्धिनः,अपराजातिः।
स्वर्वेश्या,स्त्री।,अप्सरस्,,,द्रव्यम्,आत्मा,देवयोनिः,,,,"अप्सरस्,स्वर्वेश्या","इन्द्रः,देवः","घृताचीनामाप्सरा,मेनकानामाप्सरा,रम्भानामाप्सरा,उर्वशीनामाप्सरा,तिलोत्तमानामाप्सरा,सुकेशीनामाप्सरा,मञ्जुघोषानामाप्सरा"
घृताची,स्त्री।,घृताचीनामाप्सरा,,,द्रव्यम्,आत्मा,देवयोनिः,,,,घृताची,"इन्द्रः,देवः",
मेनका,स्त्री।,मेनकानामाप्सरा,,,द्रव्यम्,आत्मा,देवयोनिः,,,,मेनका,"इन्द्रः,देवः",
रम्भा,स्त्री।,रम्भानामाप्सरा,,,द्रव्यम्,आत्मा,देवयोनिः,,,,रम्भा,"इन्द्रः,देवः",
उर्वशी,स्त्री।,उर्वशीनामाप्सरा,,,द्रव्यम्,आत्मा,देवयोनिः,,,,उर्वशी,"इन्द्रः,देवः",
तिलोत्तमा,स्त्री।,तिलोत्तमानामाप्सरा,,,द्रव्यम्,आत्मा,देवयोनिः,,,,तिलोत्तमा,"इन्द्रः,देवः",
सुकेशी,स्त्री।,सुकेशीनामाप्सरा,,,द्रव्यम्,आत्मा,देवयोनिः,,,,सुकेशी,"इन्द्रः,देवः",
मञ्जुघोषा,स्त्री।,मञ्जुघोषानामाप्सरा,,,द्रव्यम्,आत्मा,देवयोनिः,,,,मञ्जुघोषा,"इन्द्रः,देवः",
हाहा,पुं।,हाहानामदेवगायकः,,,द्रव्यम्,आत्मा,देवयोनिः,,,,हाहा,"इन्द्रः,देवः",
हूहू,पुं।,हूहूनामदेवगायकः,,,द्रव्यम्,आत्मा,देवयोनिः,,,,हूहू,"इन्द्रः,देवः",
गन्धर्व,पुं।,देवगायकः,,,द्रव्यम्,आत्मा,देवयोनिः,,,,गन्धर्व,"इन्द्रः,देवः",
अग्नि,पुं।,अग्निः,,,द्रव्यम्,आत्मा,देवता,,,,"अग्नि,वैश्वानर,वह्नि,वीतिहोत्र,धन्ञ्जय,कृपीटयोनि,ज्वलन,जातवेदस्,तनूनपात्,बर्हि,शुष्मन्,कृष्णवर्त्मन्,शोचिष्केश,उषर्बुध,आश्रयाश,बृहद्भानु,कृशानु,पावक,अनल,रोहिताश्व,वायुसख,शिखावत्,आशुशुक्षणि,हिरण्यरेतस्,हुतभुज्,दहन,हव्यवाहन,सप्तार्चिस्,दमुनस्,शुक्र,चित्रभानु,विभावसु,शुचि,अप्पित्त,धूमकेतु,त्रेता,तमोनुद्,शिखिन्,विरोचन,धिष्ण्य,बहुल,वसु,तमोपह","अग्निज्वाला,अग्निकणः,अग्नितापः,अग्नेः_निर्गतज्वाला,अग्नेः_प्रिया,अरणिः","बडवाग्निः,वनवह्निः,वज्राग्निः,आकाशादिष्वग्निविकारः,यागवेदिकायाम्_दक्षिणभागे_स्थिताग्निः,गार्हपत्याग्निः,आहवनीयाग्निः,दक्षिणगार्हपत्याहवनीयाग्नयः,संस्कृताग्निः,अग्निनाम,दक्षिणाग्नित्वेन_संस्कृत_गार्हपत्याग्निः,करीषाग्निः"
